"Module","Module size","STRING.log.p.value.at.threshold.1","STRING.p.value.at.threshold.1","STRING.overlap.at.threshold.1","STRING.expected.overlap.at.threshold.1","STRING.enrichment.ratio.at.threshold.1","STRING.log.p.value.at.threshold.400","STRING.p.value.at.threshold.400","STRING.overlap.at.threshold.400","STRING.expected.overlap.at.threshold.400","STRING.enrichment.ratio.at.threshold.400","STRING.log.p.value.at.threshold.600","STRING.p.value.at.threshold.600","STRING.overlap.at.threshold.600","STRING.expected.overlap.at.threshold.600","STRING.enrichment.ratio.at.threshold.600","STRING.log.p.value.at.threshold.800","STRING.p.value.at.threshold.800","STRING.overlap.at.threshold.800","STRING.expected.overlap.at.threshold.800","STRING.enrichment.ratio.at.threshold.800"
1.1,3088,-110000,0,493862,240000,2.06,-34100,0,97970,38200,2.57,-17900,0,51760,20200,2.56,-10500,0,32668,13200,2.47
1.2,578,-1470,0,13713,8390,1.63,-263,4.96e-115,2248,1340,1.68,-115,1.78e-50,1138,707,1.61,-40.7,2.15e-18,662,463,1.43
1.3,74,-109,3.25e-48,334,136,2.46,-11.1,1.54e-05,44,21.6,2.03,-5.64,0.00356,22,11.5,1.92,-5.38,0.00459,16,7.5,2.13
1.4,69,-66.2,1.71e-29,257,118,2.18,-15.5,1.93e-07,45,18.8,2.39,-5,0.00676,19,9.95,1.91,-3.37,0.0343,12,6.52,1.84
2,1455,-90900,0,174826,53200,3.29,-31100,0,39928,8480,4.71,-18900,0,22659,4480,5.05,-11700,0,14465,2940,4.92
3.1,948,-17000,0,54754,22600,2.42,-2220,0,8252,3600,2.29,-866,0,3976,1900,2.09,-568,2.76e-247,2604,1250,2.09
3.2,93,-2.26,0.104,234,215,1.09,-1.26,0.284,38,34.3,1.11,-0.0528,0.949,12,18.1,0.662,-0.291,0.747,10,11.9,0.842
4.1,1030,0,1,6436,26700,0.241,0,1,968,4250,0.228,0,1,482,2250,0.215,-1.52e-301,1,306,1470,0.208
4.2,42,-4.03e-18,1,2,43.3,0.0462,-0.00792,0.992,2,6.9,0.29,-0.128,0.879,2,3.65,0.548,0,1,0,2.39,0
5,1086,-3550,0,44986,29600,1.52,-732,1.28000057196321e-318,7560,4720,1.6,-665,1.42e-289,4516,2500,1.81,-257,1.97e-112,2625,1640,1.6
6.1,650,-3370,0,19941,10600,1.88,-644,1.53e-280,3355,1690,1.99,-314,5.69e-137,1734,894,1.94,-210,3.9e-92,1142,586,1.95
6.2,258,-430,1.42e-187,2972,1670,1.78,-63.9,1.77e-28,464,266,1.75,-24.6,2.03e-11,226,141,1.61,-12.2,4.8e-06,138,92.1,1.5
6.3,100,-435,1.25e-189,826,249,3.32,-35.1,5.96e-16,100,39.7,2.52,-20.5,1.23e-09,54,21,2.57,-7.64,0.00048,28,13.8,2.04
6.4,93,-5.32,0.0049,254,215,1.18,-0.9,0.407,36,34.3,1.05,-2.23,0.107,24,18.1,1.32,-1.92,0.147,16,11.9,1.35
6.5,83,-6.21,0.002,210,171,1.23,-2.78,0.0618,36,27.3,1.32,-2.35,0.0951,20,14.4,1.39,-4.77,0.00848,18,9.45,1.9
6.6,80,-83.3,6.39e-37,340,159,2.14,-140,2.59e-61,146,25.3,5.77,-139,4.88e-61,110,13.4,8.21,-137,4.87e-60,92,8.78,10.5
7,317,-1860,0,6074,2520,2.41,-371,5.49e-162,1054,401,2.63,-83.7,4.68e-37,422,212,1.99,-2.78,0.0618,158,139,1.14
8,150,-402,1.82e-175,1338,562,2.38,-65.4,3.87e-29,214,89.5,2.39,-16.3,8.23e-08,88,47.4,1.86,-9.06,0.000116,54,31,1.74
9,244,-2420,0,4813,1490,3.23,-870,0,1123,238,4.73,-626,1.18e-272,695,126,5.53,-541,9.01e-236,528,82.4,6.41
10,93,-156,2.17e-68,512,215,2.38,-68.1,2.78e-30,120,34.3,3.5,-57,1.82e-25,78,18.1,4.3,-39.4,7.91e-18,52,11.9,4.38
11,52,-21.5,4.57e-10,122,66.7,1.83,-12,6.42e-06,28,10.6,2.64,-6.2,0.00203,14,5.62,2.49,-1.79,0.167,6,3.68,1.63
12,38,-5.54e-09,1,8,35.4,0.226,0,1,0,5.63,0,0,1,0,2.98,0,0,1,0,1.95,0
13,25,-0.000173,1,4,15.1,0.265,-0.367,0.693,2,2.4,0.832,-1.01,0.363,2,1.27,1.57,0,1,0,0.833,0
14,21,0,1,0,10.6,0,0,1,0,1.68,0,0,1,0,0.89,0,0,1,0,0.583,0
15,21,-0.00636,0.994,4,10.6,0.379,0,1,0,1.68,0,0,1,0,0.89,0,0,1,0,0.583,0
