Samples,Diets,Weight,Liver weight,Liver body weight ratio,Spleen weight,Epi Fat,Cecum weight,Liver total cholesterol,Liver free cholesterol,Lobular inflammation ,Steatosis,balooning,Portal inflammation
NC_0,NC,30.05,1.4,0.046589018302829,0.11,0.22,0.56,30.6637793069077,22.5584507629586,0,0,0,0
NC_1,NC,30,1.42,0.047333333333333,0.1,0.32,0.54,,,0,0,0,0
NC_2,NC,28.6,1.29,0.045104895104895,0.09,0.37,0.63,30.33608072897,19.2734478169504,0,0,0,0
NC_3,NC,28.8,1.4,0.048611111111111,0.06,0.53,0.54,,,0,0,0,0
HS_0,HS,32.2,1.38,0.042857142857143,0.08,0.42,0.21,31.3181310467439,23.0031799753999,0,0,0,1
HS_1,HS,28.4,1.18,0.041549295774648,0.08,0.56,0.21,28.2976510830954,23.86372036587,0,0,0,0
HS_2,HS,31.4,1.34,0.042675159235669,0.08,0.62,0.31,28.3356814142406,23.7865443903138,0,0,0,0
HS_3,HS,30.3,1.46,0.048184818481848,0.09,0.57,0.23,,,0,0,0,0
HS_4,HS,27,1.33,0.049259259259259,0.08,0.4,0.3,,,0,0,0,0
Chol2_HS_0,Chol 2%_HS (2m),29.3,1.44,0.049146757679181,0.1,0.68,0.28,57.9217943309677,25.4831344994342,2,1,1,0
Chol2_HS_1,Chol 2%_HS (2m),29,1.49,0.051379310344828,0.09,0.35,0.28,49.145811566275,26.4244799530556,1,1,2,0
Chol2_HS_2,Chol 2%_HS (2m),28.7,1.33,0.046341463414634,0.09,0.35,0.22,48.1715307413939,24.9119616394318,0,0,0,1
ChR2_0,ChR 2% (2m),26.7,2.09,0.078277153558053,0.17,0.37,0.21,,,3,1,1,2
ChR2_1,ChR 2% (2m),28.2,2.33,0.082624113475177,0.18,0.29,0.21,148.346654311516,30.0767221156356,3,1,2,2
ChR2_2,ChR 2% (2m),27.7,2.08,0.075090252707581,0.14,0.31,0.32,,,2,1,2,1
Chol2_CA_0,Chol2%-CA,25.2,2.01,0.079761904761905,0.16,0.17,0.21,114.949392200333,34.557846676298,3,0,1,2
Chol2_CA_1,Chol2%-CA,29,2.24,0.077241379310345,0.19,0.13,0.24,115.534641398615,32.3104903507804,3,0,1,2
Chol2_CA_2,Chol2%-CA,30.9,2.2,0.071197411003236,0.18,0.29,0.3,,,3,1,2,1
Chol2_CA_3,Chol2%-CA,29.4,1.99,0.067687074829932,0.18,0.28,0.2,,,3,1,2,1
CA_0,Cholate (CA) 2m,27.5,2,0.072727272727273,0.08,0.16,0.54,33.8962619839308,24.6206047953107,0,0,0,0
CA_1,Cholate (CA) 2m,24.9,1.96,0.078714859437751,0.09,0.017,0.7,35.0597610866476,24.0934273227831,0,0,0,1
CA_2,Cholate (CA) 2m,24.4,2.03,0.083196721311475,0.07,0.23,0.65,,,0,0,0,0
CA_3,Cholate (CA) 2m,25.9,2.35,0.090733590733591,0.09,0.14,0.63,,,0,0,0,0
