"Sample","PrincipalComponent.1","PrincipalComponent.2","PrincipalComponent.3","PrincipalComponent.4"
"X0869",-0.134255438311398,0.0764597095576839,-0.0306477971595499,0.139540558090055
"X0872",-0.115565470156478,0.113771715425878,0.0460421940206842,0.0721052136068749
"X0873",-0.148040727631633,0.0533899612989454,-0.0072187626076648,0.117282254279817
"X0874",-0.0805319610310108,0.0459439848763221,0.0237104648601661,0.0444032340093354
"X0875",-0.119155850620201,0.0491247892124238,0.0107832207381049,0.0375765269291846
"X0876",-0.0714881954283114,0.0808277701849384,0.0726138745825611,-0.0149347998067601
"X0877",-0.142781896978531,0.0502087902918864,-0.052072619299289,0.114905360077363
"X0878",-0.112976757451853,0.0514564410249485,0.0210682985227715,-0.0256245870962253
"X0879",-0.128405260969903,0.0510863885056802,0.0495529120371432,0.0391616069577479
"X0881",-0.169404044470464,0.0779223529963522,0.0345116365754146,-0.0168510885131874
"X0883",-0.0319137543508795,0.139683311506854,0.180679301062318,-0.0563848971868682
"X0885",-0.176803965392663,0.0251849465086245,0.048713999375738,-0.108032520379665
"X0886",-0.0965342110033968,0.0213746163446285,0.0178976891014163,-0.135822032233913
"X0887",-0.108945691031221,0.119318913474,0.116661414354161,0.111447214665373
"X0888",-0.0714329672034207,0.1208471341906,0.142954194788688,-0.00735695108899909
"X0889",-0.104416908613889,0.0696686619748951,0.165903311498943,-0.025590127935656
"X0890",-0.0812294000541399,0.134923875981176,0.179553321313615,0.0275371922993213
"X0891",-0.0671592592654271,0.0822754046212293,0.177285773273048,-0.0227397929709408
"X0892",-0.0214455057909816,0.126391540232231,0.198887544045917,-0.0273795604933292
"X0893",-0.0981512765933089,0.0179529003015511,0.126970492725614,-0.039905001352055
"X0894",-0.254652396640599,-0.0837614196978179,-0.232870540009861,0.126080410283268
"X0896",-0.189956302589811,-0.0204815848232943,-0.0494213170565235,-0.201266504382824
"X0897",-0.158660391866577,-0.0313444118398428,-0.0120628748243177,-0.0701316901904632
"X0898",-0.0992529732690624,-0.00841315230861787,0.0309455615044727,-0.134653747544997
"X0899",-0.205308898322041,-0.0570334016670479,-0.137214517739031,-0.0871230968420154
"X0910",-0.180535828968479,0.000486240837059308,-0.0105683545936309,-0.121146155249119
"X2683",0.0941425671613424,-0.180901237998469,0.144178663930242,-0.0945317378967262
"X2684",-0.000918675771304267,-0.257337773134058,-0.0707982164954788,-0.0223192206654016
"X2685",0.132830620642376,-0.184136552350495,0.033869981352771,0.19607790386042
"X2687",0.194978855979159,0.00319876259056468,0.193915225488144,0.186227536777892
"X2688",0.12416087720256,-0.207334831492412,0.0542318304817092,0.0440131275456095
"X2689",0.167366828576006,-0.0679121745779237,0.158879910086466,0.0782782782445135
"X2691",0.0370709753506366,-0.128869331039657,0.0700197266994216,-0.00568091638204909
"X2692",0.193608396226908,-0.159758979559798,0.120168745081718,0.0640647518602173
"X2693",0.0327245433020172,-0.188981040889627,0.0759203740730031,0.100983217617758
"X2696",0.0369971908272569,-0.213921052648746,0.0672389839421084,-0.0448157072383072
"X2697",0.0224040782762124,-0.106766075260777,0.0740289083712271,-0.0947357299839171
"X2698",0.224544982131374,0.0143854449713534,0.183270068068468,0.16677279695919
"X2701",0.0366026766708517,-0.224531694806946,0.0337725504901929,-0.0191154343380157
"X2703",-0.0956553400005559,-0.49722376962967,-0.294044283192379,-0.108567264981733
"X2704",0.0775723336474075,-0.117154851391044,0.0530247393922756,-0.103118048498255
"X2705",0.0259138279105518,-0.221501704408398,-0.0287652726860719,-0.041661583502912
"X3992",0.162932492952064,0.0640046810465396,-0.101775306759607,0.0529090092436388
"X3993",0.130200932204997,0.12521359988388,-0.11971166372399,0.154018856833693
"X3994",0.189215380893606,0.177250947228237,-0.186983707725253,-0.213436902163484
"X3995",0.134302360500317,0.117018428478309,-0.0760152084026612,0.197013854746924
"X3996",0.182920871183336,0.154615783504343,-0.105912880786777,-0.224427021954198
"X3997",0.220587179649118,0.0784626277922038,-0.102008419139799,-0.0221858778307608
"X3998",0.202503108616295,0.174759114660507,-0.185129139479875,-0.481547972820824
"X4000",0.0776875158429494,0.064513807995204,-0.137025741573751,0.167944819205699
"X4002",0.0817133203049385,0.0379409535641833,-0.0771220755921632,0.131579497779067
"X4004",0.00333574738910625,0.031693109515549,-0.124729908260219,0.112162941626351
"X4005",0.0922767279639089,0.0801409765970327,-0.0829442275415626,-0.239314291250183
"X4006",-0.0484697383642484,0.131092293055082,-0.507484200311017,0.31019938234376
"X4007",0.0404375291538158,0.03145856330641,-0.0869503686466855,0.104669345116811
"X4008",0.189114307305802,0.0806184585075085,-0.066838766428823,-0.0772688421957538
"X4010",0.205902860276874,0.0826980374798253,-0.0209387418025445,-0.00928578599034462
