"Sample","PrincipalComponent.1","PrincipalComponent.2","PrincipalComponent.3","PrincipalComponent.4"
"X0869",-0.140151124734356,0.0729050488456247,-0.0552162197802425,0.137665659506283
"X0872",-0.124487473642761,0.10297902426235,0.0545806250288247,0.000818710908454257
"X0873",-0.152166358056461,0.038294113454872,-0.0264467114042384,0.144666984383016
"X0874",-0.0818028881441307,0.0337212533355677,0.0093428206903107,-0.0549048716097925
"X0875",-0.122855410806783,0.0322609746915219,-0.0024153374884337,0.0112030832024273
"X0876",-0.0762964503253639,0.0719323947265475,0.078483070404136,-0.0858987246193062
"X0877",-0.147655992492908,0.0424094437168601,-0.0855921229785128,0.14445230586421
"X0878",-0.117376403653473,0.0310275099814886,0.0104336284930186,-0.0900344846810372
"X0879",-0.132142357302771,0.033382001201739,0.0511417998516786,0.145678494202824
"X0881",-0.178580193952,0.0476934806950993,0.0382505041282616,0.0437655243356306
"X0883",-0.040148215474408,0.135238666941192,0.231787175469452,-0.11415201230304
"X0885",-0.181606883293774,-0.019799026002617,0.0543076111164232,0.0631180844193742
"X0886",-0.0982778204476974,0.0021077115001868,-0.000693468623842213,-0.192004555179968
"X0887",-0.117674194970498,0.104585693588582,0.153312453258887,0.211638620419609
"X0888",-0.0782634358451107,0.106816390494463,0.176096536357946,-0.10772528033381
"X0889",-0.107788232186669,0.0362549307354386,0.211427153697594,0.0452534136154132
"X0890",-0.0893203083302065,0.118843595127164,0.232215476052742,0.043360788088607
"X0891",-0.0699045322205628,0.0570252900781616,0.220588687731595,-0.031052070149556
"X0892",-0.0267431001013501,0.116221193437896,0.252039448122293,-0.148083846815005
"X0893",-0.0961396899319227,-0.0187832287500027,0.148947623216184,0.0554099856365069
"X0894",-0.251455500081589,-0.114346576355203,-0.343743549726743,0.194917831440691
"X0896",-0.193036194589325,-0.0654484613128767,-0.093528175380374,-0.213248960545377
"X0897",-0.157646776608116,-0.06561616724095,-0.0463529208219937,0.0536623791151826
"X0898",-0.0978458930617635,-0.0362361527850996,0.0122755284773522,-0.173845588606357
"X0899",-0.204323006507215,-0.0888720720741158,-0.227512479850472,-0.125347663101949
"X0910",-0.184679980323252,-0.0412394240838004,-0.0350480430147063,-0.0203959706574329
"X2683",0.122043061358069,-0.227386429006445,0.143574317199039,-0.0414385471055933
"X2684",0.0286732332796889,-0.298802340684725,-0.166152276016315,-0.0480090257450276
"X2685",0.165565314886942,-0.17867249879716,-0.025100796609778,0.192250524483757
"X2687",0.21226869166111,0.0278019497731296,0.22325525979548,0.172359370347503
"X2688",0.157755977276555,-0.219868543796762,-0.0153696809025042,-0.0264592412140509
"X2689",0.18937323192492,-0.0628275355410367,0.157779744463523,0.0319399751619956
"X2691",0.058631763074841,-0.160918118345619,0.0335603968086081,-0.0548151544505328
"X2692",0.224451253479256,-0.157060760602789,0.103388125432445,0.121131771082432
"X2693",0.0626558609209153,-0.228410972792226,0.0355789424498373,0.188864387275221
"X2696",0.0664452037041528,-0.26220209140139,0.0211510031739937,-0.0175855648177649
"X2697",0.0405625707591393,-0.139396227997294,0.0428206809209928,-0.202843959280215
"X2698",0.241341002531403,0.0533492009283216,0.213351504041779,0.0927686683450984
"X2701",0.0671361701241787,-0.260180368928976,-0.0234201667017831,0.065406628229944
"X2704",0.0969811292649487,-0.137040236943239,0.0183630960696924,-0.231932278872081
"X2705",0.0538710970098504,-0.252128694945339,-0.107318351544961,-0.026008504529634
"X3992",0.163171044286346,0.135786371283937,-0.165885322278039,-0.0872735983409999
"X3993",0.121985691751171,0.216550090379335,-0.157503344275435,0.300358248225333
"X3995",0.129764374500223,0.20052526898785,-0.114204809775216,0.258487467989013
"X3996",0.165616591745065,0.235773899335442,-0.124358331781581,-0.253587648104858
"X3997",0.217508931650049,0.168402018460714,-0.147223361639979,-0.0215973788289482
"X4000",0.0762136711310334,0.132391327905966,-0.201817952410754,0.0859308947378699
"X4002",0.0836236128434864,0.0938165739262539,-0.133037417535303,0.139993756876117
"X4004",0.00411065311930934,0.0679323371666794,-0.196875372245553,-0.0340982496014356
"X4005",0.0822098092152971,0.119970734086116,-0.112526881490993,-0.281300312960216
"X4007",0.0434206523924911,0.0745224565922215,-0.156114497302722,-0.0253010965758974
"X4008",0.187383239815056,0.156366710637839,-0.111802993294677,-0.229519365776226
"X4010",0.205604583378972,0.168348272109105,-0.0527926275769352,-0.00663960308640029
