aliquot_id	aliquot_submitter_id	case_id	case_submitter_id	project_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	no_matched_normal_targeted_sequencing	aliquot_quantity	aliquot_volume	state	source_center	analyte_type	no_matched_normal_wxs	no_matched_normal_low_pass_wgs	selected_normal_wgs	selected_normal_targeted_sequencing	amount	no_matched_normal_wgs	selected_normal_low_pass_wgs	selected_normal_wxs	concentration	analyte_type_id
eee244d0-ea5e-430f-89e2-2c0711fde716	TCGA-BC-A8YO-10A-01D-A703-36	f53a70d9-a774-4969-896e-2dcdd4d02a7a	TCGA-BC-A8YO	TCGA-LIHC	2b921168-2dbd-4e18-87d2-e14416f14f2d	TCGA-BC-A8YO-10A	a412c5f3-ae40-413e-8396-b105b09f8104	TCGA-BC-A8YO-10A-01	f1753984-4929-4897-b012-addfc05a70e3	TCGA-BC-A8YO-10A-01D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.02	--
b11241b3-bb2d-4e6b-a844-ca7d5fdbbb03	TCGA-BC-A8YO-01A-11D-A703-36	f53a70d9-a774-4969-896e-2dcdd4d02a7a	TCGA-BC-A8YO	TCGA-LIHC	4218932d-170a-41f0-89ec-92a71a7b13dd	TCGA-BC-A8YO-01A	32dd9c2e-a454-49aa-890f-de92494e115c	TCGA-BC-A8YO-01A-11	47782996-3f27-46dd-889c-0b6283a918e2	TCGA-BC-A8YO-01A-11D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.02	--
fa47df40-1616-454f-a926-29a0b3be68a1	TCGA-BC-A8YO-01A-31-A645-42-X041-S01_aliquot	f53a70d9-a774-4969-896e-2dcdd4d02a7a	TCGA-BC-A8YO	TCGA-LIHC	4218932d-170a-41f0-89ec-92a71a7b13dd	TCGA-BC-A8YO-01A	ea60fbeb-e9b9-4115-ac41-bee17204c80c	TCGA-BC-A8YO-01A-31-A645-42	77fcd320-c5ba-4620-ba74-31609a55f32d	TCGA-BC-A8YO-01A-31-A645-42-X041-S01	--	--	--	released	--	DNA	--	--	--	--	--	--	--	--	--	--
fc13e8f3-35e3-40c3-8376-3af6f2bccb3a	TCGA-DD-AACL-01A-31-A646-42-X034-S12_aliquot	3da3cfec-5464-4dd8-9757-a0cdfe3536f8	TCGA-DD-AACL	TCGA-LIHC	bfa0e9b2-6a36-4865-9455-0a942dc9ca44	TCGA-DD-AACL-01A	49e8423d-5cb8-4257-9be8-0143d787c41f	TCGA-DD-AACL-01A-31-A646-42	6db5710c-250c-4f08-8424-9e8a2134fd4f	TCGA-DD-AACL-01A-31-A646-42-X034-S12	--	--	--	released	--	DNA	--	--	--	--	--	--	--	--	--	--
af40fbc5-e154-44ff-aae8-e3eb038135ad	TCGA-DD-AACL-01A-11D-A704-36	3da3cfec-5464-4dd8-9757-a0cdfe3536f8	TCGA-DD-AACL	TCGA-LIHC	bfa0e9b2-6a36-4865-9455-0a942dc9ca44	TCGA-DD-AACL-01A	b88fef95-8660-42a2-914f-a9fd7be14196	TCGA-DD-AACL-01A-11	aa2c0392-cdff-4027-8270-268f0c5f292b	TCGA-DD-AACL-01A-11D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.02	--
5ed2493c-d5c3-420a-b517-fe034dbd7c42	TCGA-DD-AACL-01A-11D-A729-36	3da3cfec-5464-4dd8-9757-a0cdfe3536f8	TCGA-DD-AACL	TCGA-LIHC	bfa0e9b2-6a36-4865-9455-0a942dc9ca44	TCGA-DD-AACL-01A	b88fef95-8660-42a2-914f-a9fd7be14196	TCGA-DD-AACL-01A-11	aa2c0392-cdff-4027-8270-268f0c5f292b	TCGA-DD-AACL-01A-11D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.15	--
008347b5-4886-4f32-a716-122e61437327	TCGA-DD-AACL-10A-01D-A704-36	3da3cfec-5464-4dd8-9757-a0cdfe3536f8	TCGA-DD-AACL	TCGA-LIHC	5ae2b312-1d53-4a07-b4e9-297acebe6f60	TCGA-DD-AACL-10A	c01bbc22-3fb0-4617-b255-e7ae8b10d29d	TCGA-DD-AACL-10A-01	34dbe635-22ad-4b4c-9af2-55d1468b42e4	TCGA-DD-AACL-10A-01D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.02	--
299f58fe-1d1b-4ce5-9dc2-8d3d7f84935b	TCGA-BC-A10S-01A-31-A645-42-X024-S02_aliquot	592ef526-176a-42e0-bbeb-fb62d369a343	TCGA-BC-A10S	TCGA-LIHC	ade2df15-2ed2-4dee-a710-e2814de6e4ef	TCGA-BC-A10S-01A	ca8b4e55-2856-4560-828d-c74f6f311e51	TCGA-BC-A10S-01A-31-A645-42	a934f251-66ff-48ee-bba1-a07afec60fd0	TCGA-BC-A10S-01A-31-A645-42-X024-S02	--	--	--	released	--	DNA	--	--	--	--	--	--	--	--	--	--
41c70c59-e4fb-4e45-b160-25b2dd958568	TCGA-DD-AAC8-10A-01D-A704-36	496beef9-80d9-4734-a23d-334ae1b6aaab	TCGA-DD-AAC8	TCGA-LIHC	e70d688d-d313-4d40-80f2-f8b4bfbad88d	TCGA-DD-AAC8-10A	770472bd-0c5a-447f-a00a-fe2be86a65b0	TCGA-DD-AAC8-10A-01	c0b8cc63-a20d-4589-9e26-005171571b76	TCGA-DD-AAC8-10A-01D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.02	--
2293eb30-677c-45ba-b0c6-6cac96315f7e	TCGA-DD-AAC8-01A-11D-A704-36	496beef9-80d9-4734-a23d-334ae1b6aaab	TCGA-DD-AAC8	TCGA-LIHC	3e29928b-b802-4eb8-bfcc-a88e3edf1806	TCGA-DD-AAC8-01A	928129f9-e1d2-4028-8463-9dc7db66e862	TCGA-DD-AAC8-01A-11	8e8c5e3d-ac49-4f05-b6ef-6c09777630b0	TCGA-DD-AAC8-01A-11D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.02	--
41bf557f-d590-47b6-95f5-03548d8e38d4	TCGA-DD-AAC8-01A-11D-A729-36	496beef9-80d9-4734-a23d-334ae1b6aaab	TCGA-DD-AAC8	TCGA-LIHC	3e29928b-b802-4eb8-bfcc-a88e3edf1806	TCGA-DD-AAC8-01A	928129f9-e1d2-4028-8463-9dc7db66e862	TCGA-DD-AAC8-01A-11	8e8c5e3d-ac49-4f05-b6ef-6c09777630b0	TCGA-DD-AAC8-01A-11D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.16	--
df56b02f-d555-4ce7-afe1-5007f85feb55	TCGA-DD-AAC8-01A-21-A646-42-X025-S06_aliquot	496beef9-80d9-4734-a23d-334ae1b6aaab	TCGA-DD-AAC8	TCGA-LIHC	3e29928b-b802-4eb8-bfcc-a88e3edf1806	TCGA-DD-AAC8-01A	7ba22083-6b58-4b21-b764-6d1619419aaf	TCGA-DD-AAC8-01A-21-A646-42	63a16927-98a3-4565-a497-6e1d4b1721cb	TCGA-DD-AAC8-01A-21-A646-42-X025-S06	--	--	--	released	--	DNA	--	--	--	--	--	--	--	--	--	--
124c0976-6137-4581-9d61-f3ceb09eb7a3	TCGA-G3-AAV0-01A-11D-A705-36	6e657705-8579-433b-af7a-b6155b599518	TCGA-G3-AAV0	TCGA-LIHC	d4862074-e347-4318-a4a4-bf1878ead618	TCGA-G3-AAV0-01A	62455abb-f815-4f74-8650-48e96cc0ba44	TCGA-G3-AAV0-01A-11	85407301-5bb1-41c8-bba1-26bfa13a1792	TCGA-G3-AAV0-01A-11D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.02	--
