analysis_id	analyzed_sample_id	platform	experimental_protocol	normalization_algorithm	other_analysis_algorithm	raw_data_repository	raw_data_accession	reference_sample_type
RNAseq_QB0318_CHC051T	CHC051T	60	Paired End	FPKM		1	EGAF00001883040	-888
RNAseq_QB0318_CHC1041T	CHC1041T	60	Paired End	FPKM		1	EGAF00001883041	-888
RNAseq_QB0318_CHC1052T	CHC1052T	60	Paired End	FPKM		1	EGAF00001883042	-888
RNAseq_QB0318_CHC1053T	CHC1053T	60	Paired End	FPKM		1	EGAF00001883043	-888
RNAseq_QB0318_CHC1055T	CHC1055T	60	Paired End	FPKM		1	EGAF00001883044	-888
RNAseq_QB0318_CHC1061T	CHC1061T	60	Paired End	FPKM		1	EGAF00001883045	-888
RNAseq_QB0318_CHC121T	CHC121T	60	Paired End	FPKM		1	EGAF00001883046	-888
RNAseq_QB0318_CHC253T	CHC253T	60	Paired End	FPKM		1	EGAF00001883047	-888
RNAseq_QB0318_CHC302T	CHC302T	60	Paired End	FPKM		1	EGAF00001883048	-888
RNAseq_QB0318_CHC304T	CHC304T	60	Paired End	FPKM		1	EGAF00001883049	-888
RNAseq_QB0318_CHC313T	CHC313T	60	Paired End	FPKM		1	EGAF00001883050	-888
RNAseq_QB0318_CHC314T	CHC314T	60	Paired End	FPKM		1	EGAF00001883051	-888
RNAseq_QB0318_CHC320T	CHC320T	60	Paired End	FPKM		1	EGAF00001883052	-888
RNAseq_QB0318_CHC322T	CHC322T	60	Paired End	FPKM		1	EGAF00001883053	-888
RNAseq_QB0318_CHC327T	CHC327T	60	Paired End	FPKM		1	EGAF00001883054	-888
RNAseq_QB0318_CHC429T	CHC429T	60	Paired End	FPKM		1	EGAF00001883055	-888
RNAseq_QB0318_CHC433T	CHC433T	60	Paired End	FPKM		1	EGAF00001883056	-888
RNAseq_QB0318_CHC609T	CHC609T	60	Paired End	FPKM		1	EGAF00001883057	-888
RNAseq_QB0318_CHC614T	CHC614T	60	Paired End	FPKM		1	EGAF00001883058	-888
RNAseq_QB0318_CHC736T	CHC736T	60	Paired End	FPKM		1	EGAF00001883059	-888
RNAseq_QB0318_CHC793T	CHC793T	60	Paired End	FPKM		1	EGAF00001883060	-888
RNAseq_QB0318_CHC794T	CHC794T	60	Paired End	FPKM		1	EGAF00001883061	-888
RNAseq_QB0318_CHC796T	CHC796T	60	Paired End	FPKM		1	EGAF00001883062	-888
RNAseq_QB0318_CHC884T	CHC884T	60	Paired End	FPKM		1	EGAF00001883063	-888
RNAseq_QB0318_CHC912T	CHC912T	60	Paired End	FPKM		1	EGAF00001883064	-888
RNAseq_QB0318_CHC961T	CHC961T	60	Paired End	FPKM		1	EGAF00001883065	-888
RNAseq_QB0318_CHC1744T	CHC1744T	60	Paired End	FPKM		1	EGAF00001883066	-888
RNAseq_QB0318_CHC1010T	CHC1010T	60	Paired End	FPKM		1	EGAF00001883067	-888
RNAseq_QB0318_CHC1040T	CHC1040T	60	Paired End	FPKM		1	EGAF00001883068	-888
RNAseq_QB0318_CHC1137T	CHC1137T	60	Paired End	FPKM		1	EGAF00001883069	-888
RNAseq_QB0318_CHC1148T	CHC1148T	60	Paired End	FPKM		1	EGAF00001883070	-888
RNAseq_QB0318_CHC1180T	CHC1180T	60	Paired End	FPKM		1	EGAF00001883071	-888
RNAseq_QB0318_CHC1183T	CHC1183T	60	Paired End	FPKM		1	EGAF00001883072	-888
RNAseq_QB0318_CHC1207T	CHC1207T	60	Paired End	FPKM		1	EGAF00001883074	-888
RNAseq_QB0318_CHC1210T	CHC1210T	60	Paired End	FPKM		1	EGAF00001883075	-888
RNAseq_QB0318_CHC1211T	CHC1211T	60	Paired End	FPKM		1	EGAF00001883076	-888
RNAseq_QB0318_CHC1534T	CHC1534T	60	Paired End	FPKM		1	EGAF00001883077	-888
RNAseq_QB0318_CHC1737T	CHC1737T	60	Paired End	FPKM		1	EGAF00001883078	-888
RNAseq_QB0318_CHC1747T	CHC1747T	60	Paired End	FPKM		1	EGAF00001883079	-888
RNAseq_QB0318_CHC1749T	CHC1749T	60	Paired End	FPKM		1	EGAF00001883080	-888
RNAseq_QB0318_CHC1754T	CHC1754T	60	Paired End	FPKM		1	EGAF00001883081	-888
RNAseq_QB0318_CHC1756T	CHC1756T	60	Paired End	FPKM		1	EGAF00001883082	-888
RNAseq_QB0318_CHC1757T	CHC1757T	60	Paired End	FPKM		1	EGAF00001883083	-888
RNAseq_QB0318_CHC1763T	CHC1763T	60	Paired End	FPKM		1	EGAF00001883084	-888
RNAseq_QB0318_CHC432T	CHC432T	60	Paired End	FPKM		1	EGAF00001883085	-888
RNAseq_QB0318_CHC891T	CHC891T	60	Paired End	FPKM		1	EGAF00001883086	-888
RNAseq_QB0318_CHC898T	CHC898T	60	Paired End	FPKM		1	EGAF00001883087	-888
RNAseq_QB0318_CHC1530T	CHC1530T	60	Paired End	FPKM		1	EGAF00001883088	-888
RNAseq_QB0318_CHC1545T	CHC1545T	60	Paired End	FPKM		1	EGAF00001883089	-888
RNAseq_QB0318_CHC1568T	CHC1568T	60	Paired End	FPKM		1	EGAF00001883090	-888
RNAseq_QB0318_CHC1594T	CHC1594T	60	Paired End	FPKM		1	EGAF00001883091	-888
RNAseq_QB0318_CHC1600T	CHC1600T	60	Paired End	FPKM		1	EGAF00001883092	-888
RNAseq_QB0318_CHC1602T	CHC1602T	60	Paired End	FPKM		1	EGAF00001883093	-888
RNAseq_QB0318_CHC1603T	CHC1603T	60	Paired End	FPKM		1	EGAF00001883094	-888
RNAseq_QB0318_CHC1604T	CHC1604T	60	Paired End	FPKM		1	EGAF00001883095	-888
RNAseq_QB0318_CHC1616T	CHC1616T	60	Paired End	FPKM		1	EGAF00001883096	-888
RNAseq_QB0318_CHC1626T	CHC1626T	60	Paired End	FPKM		1	EGAF00001883097	-888
RNAseq_QB0318_CHC1629T	CHC1629T	60	Paired End	FPKM		1	EGAF00001883098	-888
RNAseq_QB0318_CHC1704T	CHC1704T	60	Paired End	FPKM		1	EGAF00001883099	-888
RNAseq_QB0318_CHC1715T	CHC1715T	60	Paired End	FPKM		1	EGAF00001883100	-888
RNAseq_QB0318_CHC1717T	CHC1717T	60	Paired End	FPKM		1	EGAF00001883101	-888
RNAseq_QB0318_CHC1725T	CHC1725T	60	Paired End	FPKM		1	EGAF00001883102	-888
RNAseq_QB0318_CHC1732T	CHC1732T	60	Paired End	FPKM		1	EGAF00001883103	-888
RNAseq_QB0318_CHC1736T	CHC1736T	60	Paired End	FPKM		1	EGAF00001883104	-888
RNAseq_QB0318_CHC1739T	CHC1739T	60	Paired End	FPKM		1	EGAF00001883105	-888
RNAseq_QB0318_CHC1741T	CHC1741T	60	Paired End	FPKM		1	EGAF00001883106	-888
RNAseq_QB0318_CHC1742T	CHC1742T	60	Paired End	FPKM		1	EGAF00001883107	-888
RNAseq_QB0318_CHC1745T	CHC1745T	60	Paired End	FPKM		1	EGAF00001883108	-888
RNAseq_QB0318_CHC1746T	CHC1746T	60	Paired End	FPKM		1	EGAF00001883109	-888
RNAseq_QB0318_CHC197T	CHC197T	60	Paired End	FPKM		1	EGAF00001883110	-888
RNAseq_QB0318_CHC306T	CHC306T	60	Paired End	FPKM		1	EGAF00001883111	-888
RNAseq_QB0318_CHC889T	CHC889T	60	Paired End	FPKM		1	EGAF00001883112	-888
RNAseq_QB0318_CHC2112T	CHC2112T	60	Paired End	FPKM		1	EGAF00001883113	-888
RNAseq_QB0318_CHC2208T	CHC2208T	60	Paired End	FPKM		1	EGAF00001883114	-888
RNAseq_QB0318_CHC985T	CHC985T	60	Paired End	FPKM		1	EGAF00001883115	-888
RNAseq_QB0318_CHC2210T	CHC2210T	60	Paired End	FPKM		1	EGAF00001883116	-888
RNAseq_QB0318_CHC2415T	CHC2415T	60	Paired End	FPKM		1	EGAF00001883117	-888
RNAseq_QB0318_CHC2443T	CHC2443T	60	Paired End	FPKM		1	EGAF00001883118	-888
RNAseq_QB0318_CHC2448T	CHC2448T	60	Paired End	FPKM		1	EGAF00001883119	-888
RNAseq_QB0318_CHC2449T	CHC2449T	60	Paired End	FPKM		1	EGAF00001883120	-888
RNAseq_QB0318_CHC2491T	CHC2491T	60	Paired End	FPKM		1	EGAF00001883121	-888
RNAseq_QB0318_CHC2538T	CHC2538T	60	Paired End	FPKM		1	EGAF00001883122	-888
RNAseq_QB0318_CHC2539T	CHC2539T	60	Paired End	FPKM		1	EGAF00001883123	-888
RNAseq_QB0318_CHC2558T	CHC2558T	60	Paired End	FPKM		1	EGAF00001883124	-888
RNAseq_QB0318_CHC2560T	CHC2560T	60	Paired End	FPKM		1	EGAF00001883125	-888
RNAseq_QB0318_CHC2686T	CHC2686T	60	Paired End	FPKM		1	EGAF00001883126	-888
RNAseq_QB0318_CHC2687T	CHC2687T	60	Paired End	FPKM		1	EGAF00001883127	-888
RNAseq_QB0318_CHC2691T	CHC2691T	60	Paired End	FPKM		1	EGAF00001883128	-888
RNAseq_QB0318_CHC2695T	CHC2695T	60	Paired End	FPKM		1	EGAF00001883129	-888
RNAseq_QB0318_CHC2696T	CHC2696T	60	Paired End	FPKM		1	EGAF00001883130	-888
RNAseq_QB0318_CHC2697T	CHC2697T	60	Paired End	FPKM		1	EGAF00001883131	-888
RNAseq_QB0318_CHC2706T	CHC2706T	60	Paired End	FPKM		1	EGAF00001883132	-888
RNAseq_QB0318_CHC2707T	CHC2707T	60	Paired End	FPKM		1	EGAF00001883133	-888
RNAseq_QB0318_CHC2135T	CHC2135T	60	Paired End	FPKM		1	EGAF00001883134	-888
RNAseq_QB0318_CHC2206T	CHC2206T	60	Paired End	FPKM		1	EGAF00001883135	-888
RNAseq_QB0318_CHC2207T	CHC2207T	60	Paired End	FPKM		1	EGAF00001883136	-888
RNAseq_QB0318_CHC2132T	CHC2132T	60	Paired End	FPKM		1	EGAF00001883137	-888
RNAseq_QB0318_BCB307T	BCB307T	60	Paired End	FPKM		1	EGAF00001883138	-888
RNAseq_QB0318_CHC018T	CHC018T	60	Paired End	FPKM		1	EGAF00001883139	-888
RNAseq_QB0318_CHC129T	CHC129T	60	Paired End	FPKM		1	EGAF00001883140	-888
RNAseq_QB0318_CHC218T	CHC218T	60	Paired End	FPKM		1	EGAF00001883141	-888
RNAseq_QB0318_CHC309T	CHC309T	60	Paired End	FPKM		1	EGAF00001883142	-888
RNAseq_QB0318_CHC892T	CHC892T	60	Paired End	FPKM		1	EGAF00001883143	-888
RNAseq_QB0318_CHC909T	CHC909T	60	Paired End	FPKM		1	EGAF00001883144	-888
RNAseq_QB0318_CHC2048T	CHC2048T	60	Paired End	FPKM		1	EGAF00001883145	-888
