"Sample","PrincipalComponent.1","PrincipalComponent.2","PrincipalComponent.3","PrincipalComponent.4"
"SA499654",-0.0583226659727479,0.0320583353509042,0.0902571994074141,-0.0506952361601063
"SA499670",-0.0944261700957468,0.0376994070841041,0.138403270567835,-0.000247365111064941
"SA499674",-0.0877758453841362,0.087869770340979,0.0933901064710586,-0.0112964521162329
"SA499676",-0.0947828740364436,-0.172689338969129,-0.110886462263759,0.0989643836978998
"SA499678",0.135053205846595,0.015227211903973,0.0745005178203438,-0.00189139307368394
"SA499682",-0.0860767949562311,-0.00313717766286392,0.0656743723951885,-0.195067283742824
"SA499710",-0.069676586115543,-0.0171540787369892,-0.0200874639816732,0.0157238473389155
"SA499782",0.236451175571957,-0.0797975229194446,0.000684956470315162,-0.10627590048443
"SA499790",-0.00311804516528099,-0.0255527656153508,-0.091757714775599,-0.0191906292898876
"SA499794",0.0754525546377448,-0.0567129814120342,0.0946516353557089,0.0244988224926396
"SA499798",-0.00952231538089541,0.0181750086406178,-0.00947223473812701,-0.0223140438905531
"SA499799",-0.0237967879736344,0.118452966891439,0.0766790734822891,-0.118892083350275
"SA499801",-0.0424276709156151,0.0710717774399684,-0.00953495916907257,-0.07440745989108
"SA499802",0.00219435285445501,0.0272799698645023,-0.0900012892256094,-0.100966143846595
"SA499804",0.0150671424874755,-0.0548412033621624,-0.0539208690275435,0.0579539608556122
"SA499813",-0.0655685136066851,0.106755303685336,0.111601146985162,-1.73276018587637e-05
"SA499815",-0.0676712134582723,0.0775819733888563,0.104607457487996,0.0149539266306082
"SA499821",-0.13778503915398,0.00261027398742484,0.141455171675241,0.000426980466276876
"SA499822",-0.100556734943849,-0.0233442787984609,-0.0391364291302182,-0.0725235952115264
"SA530181",-0.00587461335283516,-0.067077519695939,-0.02380210480901,0.0411410879239721
"SA499825",0.0302177290203296,-0.0584346431995809,-0.0237179657774504,-0.00415434098492758
"SA499826",0.0853519359417434,-0.0441126781987662,0.0718850849773504,0.0266216935779437
"SA530185",-0.0788375828955381,-0.00974276122871853,0.138475630531389,-0.0573087100671201
"SA530195",-0.0392756062263309,-0.00927042135095635,0.0682474014282865,-0.0121859349385384
"SA530207",0.0144765117978322,0.0342635880266552,0.0503093352031865,-0.0325675753684437
"SA499831",-0.00978886162074256,0.040587772030133,0.0700037983882023,0.0314924895567415
"SA529995",0.0766046544737027,0.0128514238200462,0.0202451320891111,0.0349856383401707
"SA529788",0.00898729025759993,0.0159250363647511,-0.0740232765621909,-0.000254261568482154
"SA499668",-0.0963053384320436,-0.0720515255416664,0.01246630090898,-0.0372284561229785
"SA529808",-0.125194529673647,-0.0476567019240375,-0.0902935042964403,0.0689930435484672
"SA529812",-0.0906065768866705,-0.0974538637769343,0.0277548177075848,0.0865696013834039
"SA529821",0.250972546212426,-0.0809936179977485,-0.0162594336138625,-0.0794033335530335
"SA529828",-0.150419817121434,0.00458298715934456,-0.0166638533733599,0.120201780458843
"SA529844",-0.132849539205247,0.0197730298203548,0.0508150788562935,0.0552320521499114
"SA529852",0.167950572012899,0.0483356682482005,-0.0412774658041045,-0.0233931670492977
"SA529856",0.144698179519992,-0.0083885650562068,0.0338714589229435,0.110690430520918
"SA529868",0.0515071684007467,-0.0963533821343885,0.0426002559981878,0.0744750215978513
"SA529971",0.0787959499005348,-0.012778437022959,-0.0322450474482859,-0.00112549006382737
"SA530012",-0.0739367050241772,-0.0260207018809165,-0.00230636653339839,-0.0338887618369128
"SA530017",0.0187156473756328,-0.0288430473392316,0.021789432215239,0.0210491757293842
"SA530035",0.0690254558845056,-0.0335019013388513,0.0894114981934404,0.170088899173485
"SA530040",-0.073503238057942,-0.000704883505647094,0.0287390481727752,0.0216318441685573
"SA530046",-0.109041290694662,0.0212472871505829,-0.0149731103941635,-0.0680915664269488
"SA530050",-0.0680525917502686,-0.0156323613990962,-0.0184493337755364,-0.0265104133044856
"SA530171",-0.0661289662544444,-0.0199762714634565,-0.104603802066735,0.0043928712513231
"SA499829",0.0983601925227805,0.000554798766180981,0.0290282939445113,0.0517810668858903
"SA530203",-0.0930885775913015,0.0527954410432818,0.101933146463108,0.0368367562120937
"SA529861",0.0763281195471651,-0.0916471950104229,-0.0342338121453105,0.0320196419800686
"SA529873",-0.127447897144277,0.0143504402511742,-0.0168076967086311,0.0369256238503671
"SA529885",-0.0571118946562919,-0.0371947729240467,-0.0128600800419402,-0.0304847710966566
"SA529893",-0.0341421848527046,-0.0275531950111319,-0.0254876038081081,0.0157639777804593
"SA529909",-0.0445280941815075,-0.0144199876186486,-0.0655567251619441,-0.0334780096566564
"SA529913",-0.00233162914389929,-0.00341095311222129,0.0239646389308787,0.0592291447386748
"SA529915",-0.0406066005347004,-0.0409943391540287,0.0231847213911582,0.0790153092339462
"SA529917",0.154247880516481,-0.0474845821902625,0.0399831409174983,0.0409803354589542
"SA529921",0.0272273680145634,-0.020244881025469,0.0831540234524363,0.0742416741884683
"SA529925",0.00229721394695632,-0.0961714148635395,0.0608284476129209,0.0648239237066737
"SA529927",-0.0843589360661584,-0.0670200895021589,0.0684998695845892,0.0321186759172877
"SA529931",0.0097194102227922,-0.0438941613116961,-0.0156909750081717,0.0162454381544868
"SA529939",-0.0178754815375525,-0.119115923543889,-0.0714272575007224,0.00216797725108352
"SA529941",-0.0351564320829258,-0.00687317673359654,0.0770527952038976,0.0143275766378354
"SA529951",-0.00528550367650909,0.00218858110852097,0.0640398068523269,0.116153606074248
"SA529959",0.0140252188132866,-0.0305758809907787,-0.0488977353005331,-0.0230331948313558
"SA529967",0.0847776558746233,-0.00158980671752172,-0.0417957873586317,0.146415823790275
"SA529979",-0.0478192121229104,-0.0317273342929608,0.0150968364145198,0.0108055418151976
"SA529983",-0.101861428572391,-0.0110845432996866,-0.0082069930332448,-0.0610078159615105
"SA529987",-0.025297221399859,-0.0650838812522029,0.0290742175236396,0.0800537420045235
"SA530001",-0.061443924693586,-0.0153719335431225,-0.0516396134792064,-0.0193003308667483
"SA530005",-0.047123272274998,-0.00979790654772116,0.0575379960736782,0.0238665433244915
"SA499742",-0.0205403337291125,-0.0470195234134935,-0.0133698568657462,0.0244534836677379
"SA499795",-0.0121199560077496,0.0363856578955269,-0.139565407799818,-0.0159290792114469
"SA530197",-0.025707780664831,-0.00743243338862786,0.0272418935893948,0.0716666039909314
"SA530115",-0.0483348444297874,-0.0336523210302372,0.0758314488584342,0.0465256150224089
"SA530153",0.0712919339791078,0.0392410080348248,0.00662359723973597,-0.0614352173433887
"SA601356",-0.11817467168774,-0.156675709143814,0.0063427208950812,-0.185146694878228
"SA601398",0.0234221822253869,-0.0458950687491974,0.112463121476476,-0.0772439886145833
"SA601403",0.198883391686195,5.21167913010435e-05,-0.0613829565191111,-0.125847244209083
"SA597007",-0.0114607956460322,0.0356024741269567,0.0395900792767653,-0.0424944765054428
"SA597060",-0.089082342868125,0.092532275528911,-0.0498611996590227,-0.0231491026671278
"SA597073",0.0947987550641801,0.143349285435122,-0.0598121331820821,-0.0378933360000736
"SA601405",0.115039534998055,0.171581827679594,-0.168783319596622,-0.0516021031694358
"SA597024",-0.0662994950030111,0.110844052491931,0.0582375666578556,-0.100149525179114
"SA596956",0.0664718196032946,0.0926001998526061,0.0101095149103846,0.0729070777796902
"SA601424",-0.0238775577659342,0.132160993976461,0.0364846178334342,0.0828465042906275
"SA601431",0.0307784271209174,0.0917382009814653,-0.153742698887694,-0.0442313962775211
"SA601436",0.0534869454448416,-0.00394370304274156,-0.136474251765629,0.130060079270561
"SA601439",-0.0300013624017294,0.0124306685053817,0.0658795712992901,0.0632088774220361
"SA596978",-0.00359087196920926,0.0422504124504565,-0.00486650418144061,-0.0690320739088543
"SA601441",0.00719774727156958,-0.0147211060540847,-0.161656613226609,-0.071785791334553
"SA601445",0.0309572341478026,0.104461431741241,-0.0171401834185925,0.0164263409605301
"SA596998",0.0315503381142607,0.160037098946558,-0.053177746488395,0.0469178384651249
"SA601447",-0.00357022742905802,-0.0481681156008946,-0.0984634165163074,-0.106397378802009
"SA597048",-0.0292591878366492,0.0999958777290627,-0.0763063661269813,-0.052444579278833
"SA601381",0.028759772716034,-0.0296300215779223,0.0107426093370056,-0.0895215010863242
"SA530151",0.0711337513057836,0.131172585824406,-0.0535780125808877,-0.0711033807474919
"SA601389",-0.041453941290488,-0.0155249265169265,0.0357864047261174,0.0618168891946769
"SA597041",0.128160671835646,0.0252433033800076,0.075966514308765,-0.0333066864262634
"SA529974",-0.0522758032163949,0.0536152236713412,0.00655922715761463,-0.0359725993210218
"SA499636",0.029363216672167,-0.0128216550083153,-0.064131176889912,0.181103179497884
"SA499716",-0.0171491603589147,0.156966021798224,-0.0956760347665967,0.173422704873391
