"Sample","PrincipalComponent.1","PrincipalComponent.2","PrincipalComponent.3","PrincipalComponent.4"
"SA269269",-0.111925404973413,0.0301683581832743,-0.0555152610777943,0.063220662424718
"SA269164",-0.0706823777506123,0.0557336505750373,0.0037063643806155,0.0508036389464697
"SA269230",0.0878906481092838,0.0596205713023448,0.0488879793177645,0.0191199911777192
"SA269122",0.0552789726705136,0.059806479026702,0.0578356749166631,-0.0160385449414533
"SA269080",0.0401362168091879,0.0339439669350882,-0.00409941498940991,-0.00581915297050212
"SA269401",-0.00712655461574905,-0.117144165517631,0.0777762463069492,0.11530051093835
"SA269335",-0.0520211611395431,-0.0237440454972088,0.0303766460567299,-0.00485259335833155
"SA269005",0.00688365549380233,-0.106095882987171,0.0302558941810554,0.0520685831141155
"SA268924",0.055044692258711,-0.0796497993196846,-0.0084569624873652,0.09366580432025
"SA268966",0.0243738909873128,0.0730199096172346,0.0759687680247396,-0.0085664413954839
"SA270127",-0.0331192796646364,0.0427561390769937,0.0094528814459104,0.0488051833339541
"SA270058",-0.0021642742586834,-0.0600296382693176,0.027459309424953,-0.0740530542938092
"SA521013",0.0350411096051751,0.0163496405765632,-0.0506202412474855,0.00875564443454541
"SA520962",-0.0510354074664661,0.0172850151297616,0.0215596100387005,-0.0704307679149807
"SA520987",-0.126787939202522,0.00698622475668756,-0.0185650958016943,0.0143652613556617
"SA520918",0.0079771578790224,0.00407542265273303,0.0647181340625337,0.0441521196787758
"SA520944",0.00666348638020366,0.010982681668199,-0.00961412809269048,0.0397478490797372
"SA520857",-0.0454197201684386,0.0454237993946226,0.0273762995293929,0.0648017310853123
"SA520878",-0.0293740599370381,-0.10607628318485,-0.0099326555242944,-0.0222745620616859
"SA269842",0.00624898628759488,-0.126730387100543,0.0609084146832187,0.00181490145713608
"SA269782",0.0407083372799612,-0.0757571489094161,-0.0294035867692382,0.05134137728033
"SA520771",0.0580961846890268,-0.0940507147062676,0.0793309814795104,-0.0111777110721088
"SA269986",0.00462090500170477,-0.0365239298419036,-0.0314262402152829,-0.00612798113721527
"SA269914",-0.0741821064900399,0.0432469004757539,-0.0270488256593162,0.0443373692590287
"SA269956",0.0479126421130233,0.0701280434995226,0.0135312847762045,-0.0325917965241866
"SA269470",-0.115143360831795,-0.037428821745517,0.0876488100113811,0.0138092602812415
"SA520786",-0.0033665730515225,-0.0441709890270955,-0.0487837651569501,0.123046292578493
"SA520729",0.0316882588479345,0.0156335221825394,-0.0244537212941574,0.0404827517515226
"SA269698",-0.0163819395434313,-0.0442402741993319,-0.0501987024269869,0.166229229033015
"SA269746",0.0604436257364072,0.0564737501219005,0.0355186774560374,-0.00911941353499727
"SA520778",0.0601922281968833,-0.0676011796989324,-0.0243457980452678,0.0153959976015234
"SA269614",0.0511417823625729,-0.000224745707032618,-0.075065680632277,0.000642125643419148
"SA269656",0.0291419231082392,0.0396862914185209,0.0753712235202505,-0.0243160300662347
"SA515390",0.024837869707607,-0.0531922432118873,-0.0852326572383729,-0.129543057612811
"SA515437",0.0437870081017252,0.0333628546094735,-0.100320456940936,-0.0130503730646089
"SA515334",-0.0264628860597182,-0.0551566876520559,-0.042749029030705,-0.0659597298879075
"SA515284",0.05465954760511,-0.0263627097756017,0.0831554704284984,0.0423297200282613
"SA515238",-0.104464411737659,0.010623700209283,-0.0645110318182796,0.0563835548855941
"SA515154",0.00578873289641415,0.0282464322351955,-0.153174592972488,0.0621354763768124
"SA515107",-0.0309582219073726,-0.0143316768354836,0.0215546343527524,0.05996416279307
"SA515128",0.0223100199699178,0.0759470283901996,0.073738246256855,-0.0317900930866027
"SA515977",0.0469435658779272,0.00885912451429955,0.0270372181167768,-0.0422607427943053
"SA516024",-0.0101289539246553,-0.113698259542607,0.0964448939450707,0.0394474976036549
"SA515901",0.0774524230969953,0.0182780258721724,-0.0089983838771679,0.0186848430463878
"SA515716",0.016063834856048,0.00617744277084561,0.00780287792639924,-0.0106894072355451
"SA515800",0.022774288128423,0.0581842506373377,0.0221562351593383,0.0569034687806126
"SA515888",0.0391434721816103,0.011341536090289,-0.0530993915290271,0.00183193871638682
"SA515464",0.0297104283713377,-0.0280782955466914,-0.0173652441211057,0.0865203631235797
"SA521259",0.0579591116371624,0.00586994360583972,-0.0154619320608859,-0.0463027246188599
"SA521266",0.0678064001964979,-0.0176177289364888,-0.062815603852118,-0.0351931826936342
"SA521250",-0.00515338014135408,0.052080109523171,-0.0473035762607221,-0.0247181879015361
