"Sample","PrincipalComponent.1","PrincipalComponent.2","PrincipalComponent.3","PrincipalComponent.4"
"SA595602",0.0599679893334079,-0.0210249870676522,0.0338974923871077,-0.015856428216378
"SA595603",-0.0516257564878876,0.0376406729433186,0.0161338783946589,0.01069549711055
"SA595606",-0.00572320964318551,-0.0136386627718886,-0.0667159759270041,-0.042563231492635
"SA595607",-0.00848524333859159,-0.0620112711408882,0.0665773028538738,0.0504453030661944
"SA595608",0.0126036479348026,0.00665391146138006,-0.0841824816912808,-0.0764930439685514
"SA595610",0.0126036479348026,0.00665391146137984,-0.0841824816912812,-0.0764930439685515
"SA595611",-0.0355682688098649,0.0464502869101958,0.0378616229117424,8.26145941889012e-05
"SA595600",0.00552280989133604,-0.0287450716403792,-0.0484711440678079,0.0147509539510108
"SA595601",-0.0421182399258536,-0.0206413646502729,-0.0160501153183267,0.0429390314381521
"SA595590",0.0400211043754828,-0.00394086068287066,-0.0244337349746965,-0.0700268297096858
"SA595598",0.0442462328497854,0.0250990510175301,0.108614271354445,-0.0694123675764222
"SA595588",0.0236534448397563,0.012102324021369,-0.0241846793386141,-0.0356890803729953
"SA595589",-0.0256625334497431,0.062011480618625,-0.00943878907378142,0.0880075665040154
"SA595587",0.10331386476101,0.216534785717282,-0.039576696384671,0.0393413272152769
"SA595585",0.0172436929959184,0.0087860234272432,-0.0577257278144408,-0.0430788823982163
"SA595586",-0.0159990374237596,-0.0440018169948774,0.0323479607876583,0.0297899538192682
"SA595584",0.0827859958279081,-0.0324583547782678,-0.0196611735588086,0.0758999841229635
"SA595577",0.00883032478370076,-0.0454107858121125,-0.031282537762161,-0.0750348635492999
"SA595578",-0.0352013254659427,-0.01353254168768,0.0199298572635194,-0.00553631340957647
"SA595579",0.0211961307513263,0.00904142806651637,-0.0619598345634647,0.00311815818396634
"SA595580",-0.0528131756845821,-0.00139246813130172,0.0015876159563758,-0.00219316068286097
"SA595581",0.0298657806932857,0.0312641391857378,-0.0784758803259811,-0.012877006282287
"SA595582",-0.0414134101621398,-0.0162013573191621,0.0166651762404171,0.0160124438546997
"SA595573",-0.0016753375400344,0.055746282165628,0.0333581664396754,-0.103683756984666
"SA595574",0.0084817428194771,0.0494547629834652,-0.0159982248836051,-0.00235538723488386
"SA595575",-0.00324770432198348,0.0840852464293481,0.00064207170090575,0.0960831370041754
"SA595576",0.0245549447031459,-0.0196211654786147,0.0153000812413914,0.0403651609529294
"SA595563",0.0534367867594523,0.0645952918312811,-0.0318918640963601,-0.0772927715802519
"SA595564",0.0183908119998427,0.0447466626115518,0.0334982326668437,-0.0214041450913917
"SA595565",0.0138817024400812,0.0288939763500209,0.115508948211215,-0.00863304405893661
"SA595566",0.0936983944115462,0.157929760577598,-0.0100154190961945,-0.011342764290232
"SA595567",0.0936983944115462,0.157929760577598,-0.0100154190961944,-0.0113427642902319
