"Sample","PrincipalComponent.1","PrincipalComponent.2","PrincipalComponent.3","PrincipalComponent.4"
"SA269269",-0.116646165799758,0.0320990035246923,0.0521194963296482,-0.0639018333458858
"SA269164",-0.0738787981847235,0.0570516719457782,-0.00724171268159401,-0.0509765919309886
"SA269230",0.0910583618110029,0.0584676277519954,-0.0460580903357376,-0.0187458138340403
"SA269122",0.0574430766923683,0.0589812479243518,-0.0567013393099772,0.0163639670709472
"SA269080",0.041047939845173,0.0334248238004483,0.00562625228287839,0.00360630950308732
"SA269401",-0.00823400572124783,-0.117021262781532,-0.0777752286512316,-0.114710086238228
"SA269335",-0.0542032010849849,-0.0229026743293799,-0.0318153158048194,0.00430671111120584
"SA269005",0.00601239248984685,-0.106106979509825,-0.0293905446630569,-0.0521820276575347
"SA268924",0.0553740535321276,-0.0802788355918407,0.0108840082121256,-0.0937968979980896
"SA268966",0.0256749852198401,0.072678172545123,-0.0763671606142993,0.0096018673939889
"SA270127",-0.0349315967208613,0.043364327954524,-0.011354728301744,-0.0489913058842809
"SA270058",-0.00366292144130704,-0.0599931415533082,-0.028453287185465,0.0737935341367851
"SA521013",0.0346746402183453,0.0161035227215097,0.0513892701064689,-0.00994126316940939
"SA520962",-0.0531168299829866,0.0180376761031437,-0.0238069688194397,0.0695104830552667
"SA520987",-0.131497599657638,0.00886749273216422,0.0147002885822804,-0.0133353169831555
"SA520918",0.00786443960621402,0.00389722061110822,-0.0653726316362964,-0.0451721474530558
"SA520944",0.00578251494097203,0.0109821651996736,0.00917282825237318,-0.0394334998926577
"SA520857",-0.0469298989803617,0.0462016407137303,-0.0288455762820574,-0.0656046918033339
"SA520878",-0.0319726619576863,-0.105650769326724,0.00895862292274366,0.0243799574318888
"SA269842",0.0051567630556972,-0.126860089393248,-0.0609637055524558,-0.00211391236320799
"SA269782",0.0409201347292742,-0.0762920915912394,0.0320514813526493,-0.0511917851830195
"SA520771",0.0595125440278937,-0.0950698928065196,-0.077469802950563,0.0108764235244855
"SA269986",0.00361624746771112,-0.0364950123123286,0.0323010296725365,0.00523096646204581
"SA269914",-0.0772447396502822,0.0444668762049377,0.0240780395298486,-0.0440147822346548
"SA269956",0.0494912933429384,0.0694519943229619,-0.0127554120378994,0.0332156754657608
"SA269470",-0.118812722954759,-0.0357738696704287,-0.0915293834237136,-0.0142290809586991
"SA520786",-0.00556482730258136,-0.0437777021217474,0.0484115575039817,-0.121234194191133
"SA520729",0.032062143165825,0.0151883568471208,0.0254222031135726,-0.0409929822313846
"SA269698",-0.0189284026084115,-0.0437895334393943,0.0493237360210107,-0.164620332162731
"SA269746",0.0626616111436241,0.0555893096817941,-0.0340894090708203,0.00956138968587116
"SA520778",0.0608734249615085,-0.0684390375942169,0.0271480037705845,-0.0155896213937892
