ensembl,combo,entrez,mgi,symbol
ENSMUSG00000000001,Gnai3,14679,MGI:MGI:95773,Gnai3
ENSMUSG000000000035,ENSMUSG000000000035,NA,NA,NA
ENSMUSG000000000285,ENSMUSG000000000285,NA,NA,NA
ENSMUSG000000000316,ENSMUSG000000000316,NA,NA,NA
ENSMUSG000000000377,ENSMUSG000000000377,NA,NA,NA
ENSMUSG000000000491,ENSMUSG000000000491,NA,NA,NA
ENSMUSG00000000056,Narf,67608,MGI:MGI:1914858,Narf
ENSMUSG00000000058,Cav2,12390,MGI:MGI:107571,Cav2
ENSMUSG00000000078,Klf6,23849,MGI:MGI:1346318,Klf6
ENSMUSG000000000856,ENSMUSG000000000856,NA,NA,NA
ENSMUSG00000000088,Cox5a,12858,MGI:MGI:88474,Cox5a
ENSMUSG00000000093,Tbx2,21385,MGI:MGI:98494,Tbx2
ENSMUSG000000000942,ENSMUSG000000000942,NA,NA,NA
ENSMUSG000000001032,ENSMUSG000000001032,NA,NA,NA
ENSMUSG00000000120,Ngfr,18053,MGI:MGI:97323,Ngfr
ENSMUSG00000000125,Wnt3,22415,MGI:MGI:98955,Wnt3
ENSMUSG000000001261,ENSMUSG000000001261,NA,NA,NA
ENSMUSG000000001275,ENSMUSG000000001275,NA,NA,NA
ENSMUSG000000001315,ENSMUSG000000001315,NA,NA,NA
ENSMUSG000000001347,ENSMUSG000000001347,NA,NA,NA
ENSMUSG000000001425,ENSMUSG000000001425,NA,NA,NA
ENSMUSG000000001487,ENSMUSG000000001487,NA,NA,NA
ENSMUSG000000001490,ENSMUSG000000001490,NA,NA,NA
ENSMUSG000000001546,ENSMUSG000000001546,NA,NA,NA
ENSMUSG000000001576,ENSMUSG000000001576,NA,NA,NA
ENSMUSG000000001596,ENSMUSG000000001596,NA,NA,NA
ENSMUSG000000001674,ENSMUSG000000001674,NA,NA,NA
ENSMUSG00000000168,Dlat,235339,MGI:MGI:2385311,Dlat
ENSMUSG00000000171,Sdhd,66925,MGI:MGI:1914175,Sdhd
ENSMUSG00000000182,Fgf23,64654,MGI:MGI:1891427,Fgf23
ENSMUSG00000000183,Fgf6,14177,MGI:MGI:95520,Fgf6
ENSMUSG000000001842,ENSMUSG000000001842,NA,NA,NA
ENSMUSG000000001943,ENSMUSG000000001943,NA,NA,NA
ENSMUSG00000000197,Nalcn,338370,MGI:MGI:2444306,Nalcn
ENSMUSG00000000202,Btbd17,72014,MGI:MGI:1919264,Btbd17
ENSMUSG000000002046,ENSMUSG000000002046,NA,NA,NA
ENSMUSG000000002141,ENSMUSG000000002141,NA,NA,NA
ENSMUSG000000002151,ENSMUSG000000002151,NA,NA,NA
ENSMUSG00000000216,Scnn1g,20278,MGI:MGI:104695,Scnn1g
ENSMUSG000000002233,ENSMUSG000000002233,NA,NA,NA
ENSMUSG000000002447,ENSMUSG000000002447,NA,NA,NA
ENSMUSG000000002471,ENSMUSG000000002471,NA,NA,NA
ENSMUSG000000002486,ENSMUSG000000002486,NA,NA,NA
ENSMUSG000000002533,ENSMUSG000000002533,NA,NA,NA
ENSMUSG000000002635,ENSMUSG000000002635,NA,NA,NA
ENSMUSG000000002661,ENSMUSG000000002661,NA,NA,NA
ENSMUSG000000002756,ENSMUSG000000002756,NA,NA,NA
ENSMUSG000000002761,ENSMUSG000000002761,NA,NA,NA
ENSMUSG000000002780,ENSMUSG000000002780,NA,NA,NA
ENSMUSG000000002822,ENSMUSG000000002822,NA,NA,NA
ENSMUSG000000002903,ENSMUSG000000002903,NA,NA,NA
ENSMUSG000000002953,ENSMUSG000000002953,NA,NA,NA
ENSMUSG00000000296,Tpd52l1,21987,MGI:MGI:1298386,Tpd52l1
ENSMUSG000000003016,ENSMUSG000000003016,NA,NA,NA
ENSMUSG000000003032,ENSMUSG000000003032,NA,NA,NA
ENSMUSG000000003052,ENSMUSG000000003052,NA,NA,NA
ENSMUSG000000003084,ENSMUSG000000003084,NA,NA,NA
ENSMUSG000000003171,ENSMUSG000000003171,NA,NA,NA
ENSMUSG000000003186,ENSMUSG000000003186,NA,NA,NA
ENSMUSG000000003200,ENSMUSG000000003200,NA,NA,NA
ENSMUSG000000003256,ENSMUSG000000003256,NA,NA,NA
ENSMUSG000000003263,ENSMUSG000000003263,NA,NA,NA
ENSMUSG000000003394,ENSMUSG000000003394,NA,NA,NA
ENSMUSG000000003400,ENSMUSG000000003400,NA,NA,NA
ENSMUSG00000000346,Dazap2,23994,MGI:MGI:1344344,Dazap2
ENSMUSG000000003553,ENSMUSG000000003553,NA,NA,NA
ENSMUSG00000000359,Rem1,19700,MGI:MGI:1097696,Rem1
ENSMUSG00000000365,Rnf17,30054,MGI:MGI:1353419,Rnf17
ENSMUSG00000000374,Trappc10,216131,MGI:MGI:1336209,Trappc10
ENSMUSG000000003785,ENSMUSG000000003785,NA,NA,NA
ENSMUSG000000003810,ENSMUSG000000003810,NA,NA,NA
ENSMUSG000000003845,ENSMUSG000000003845,NA,NA,NA
ENSMUSG00000000385,Tmprss2,50528,MGI:MGI:1354381,Tmprss2
ENSMUSG000000003866,ENSMUSG000000003866,NA,NA,NA
ENSMUSG000000003927,ENSMUSG000000003927,NA,NA,NA
ENSMUSG000000003945,ENSMUSG000000003945,NA,NA,NA
ENSMUSG000000003990,ENSMUSG000000003990,NA,NA,NA
ENSMUSG00000000402,Egfl6,54156,MGI:MGI:1858599,Egfl6
ENSMUSG000000004094,ENSMUSG000000004094,NA,NA,NA
ENSMUSG00000000411,Tssk3,58864,MGI:MGI:1929914,Tssk3
ENSMUSG000000004166,ENSMUSG000000004166,NA,NA,NA
ENSMUSG000000004205,ENSMUSG000000004205,NA,NA,NA
ENSMUSG00000000435,Myf5,17877,MGI:MGI:97252,Myf5
ENSMUSG00000000439,Mkrn2,67027,MGI:MGI:1914277,Mkrn2
ENSMUSG000000004402,ENSMUSG000000004402,NA,NA,NA
ENSMUSG000000004417,ENSMUSG000000004417,NA,NA,NA
ENSMUSG000000004863,ENSMUSG000000004863,NA,NA,NA
ENSMUSG00000000489,Pdgfb,18591,MGI:MGI:97528,Pdgfb
ENSMUSG000000005306,ENSMUSG000000005306,NA,NA,NA
ENSMUSG00000000531,Grasp,56149,MGI:MGI:1860303,Grasp
ENSMUSG000000005321,ENSMUSG000000005321,NA,NA,NA
ENSMUSG000000005388,ENSMUSG000000005388,NA,NA,NA
ENSMUSG000000005444,ENSMUSG000000005444,NA,NA,NA
ENSMUSG000000005520,ENSMUSG000000005520,NA,NA,NA
ENSMUSG00000000555,Itga5,16402,MGI:MGI:96604,Itga5
ENSMUSG00000000560,Gabra2,14395,MGI:MGI:95614,Gabra2
ENSMUSG000000005614,ENSMUSG000000005614,NA,NA,NA
ENSMUSG00000000562,Adora3,11542,MGI:MGI:104847,Adora3
ENSMUSG00000000562,Tmigd3,69296,MGI:MGI:5604098,Tmigd3
ENSMUSG000000005637,ENSMUSG000000005637,NA,NA,NA
ENSMUSG00000000567,Sox9,20682,MGI:MGI:98371,Sox9
ENSMUSG000000005685,ENSMUSG000000005685,NA,NA,NA
ENSMUSG000000005794,ENSMUSG000000005794,NA,NA,NA
ENSMUSG00000000581,C1d,57316,MGI:MGI:1927354,C1d
ENSMUSG00000000594,Gm2a,14667,MGI:MGI:95762,Gm2a
ENSMUSG000000006005,ENSMUSG000000006005,NA,NA,NA
ENSMUSG00000000605,Clcn4,12727,MGI:MGI:104571,Clcn4
ENSMUSG000000006068,ENSMUSG000000006068,NA,NA,NA
ENSMUSG000000006174,ENSMUSG000000006174,NA,NA,NA
ENSMUSG000000006275,ENSMUSG000000006275,NA,NA,NA
ENSMUSG000000006280,ENSMUSG000000006280,NA,NA,NA
ENSMUSG000000006310,ENSMUSG000000006310,NA,NA,NA
ENSMUSG000000006323,ENSMUSG000000006323,NA,NA,NA
ENSMUSG00000000673,Haao,107766,MGI:MGI:1349444,Haao
ENSMUSG00000000682,Cd52,23833,MGI:MGI:1346088,Cd52
ENSMUSG000000006861,ENSMUSG000000006861,NA,NA,NA
ENSMUSG00000000690,Hoxb6,15414,MGI:MGI:96187,Hoxb6
ENSMUSG000000006930,ENSMUSG000000006930,NA,NA,NA
ENSMUSG00000000701,Tcl1b5,27382,MGI:MGI:1351635,Tcl1b5
ENSMUSG000000007066,ENSMUSG000000007066,NA,NA,NA
ENSMUSG000000007084,ENSMUSG000000007084,NA,NA,NA
ENSMUSG00000000711,Rab5b,19344,MGI:MGI:105938,Rab5b
ENSMUSG000000007240,ENSMUSG000000007240,NA,NA,NA
ENSMUSG000000007303,ENSMUSG000000007303,NA,NA,NA
ENSMUSG000000007315,ENSMUSG000000007315,NA,NA,NA
ENSMUSG00000000732,Icosl,50723,MGI:MGI:1354701,Icosl
ENSMUSG000000007388,ENSMUSG000000007388,NA,NA,NA
ENSMUSG000000007394,ENSMUSG000000007394,NA,NA,NA
ENSMUSG000000007402,ENSMUSG000000007402,NA,NA,NA
ENSMUSG00000000743,Chmp1a,234852,MGI:MGI:1920159,Chmp1a
ENSMUSG000000007513,ENSMUSG000000007513,NA,NA,NA
ENSMUSG000000007535,ENSMUSG000000007535,NA,NA,NA
ENSMUSG000000007594,ENSMUSG000000007594,NA,NA,NA
ENSMUSG000000007668,ENSMUSG000000007668,NA,NA,NA
ENSMUSG000000007763,ENSMUSG000000007763,NA,NA,NA
ENSMUSG000000007826,ENSMUSG000000007826,NA,NA,NA
ENSMUSG000000007872,ENSMUSG000000007872,NA,NA,NA
ENSMUSG00000000791,Il12rb1,16161,MGI:MGI:104579,Il12rb1
ENSMUSG00000000792,Slc5a5,114479,MGI:MGI:2149330,Slc5a5
ENSMUSG00000000794,Kcnn3,140493,MGI:MGI:2153183,Kcnn3
ENSMUSG000000008044,ENSMUSG000000008044,NA,NA,NA
ENSMUSG000000008058,ENSMUSG000000008058,NA,NA,NA
ENSMUSG000000008113,ENSMUSG000000008113,NA,NA,NA
ENSMUSG000000008170,ENSMUSG000000008170,NA,NA,NA
ENSMUSG000000008236,ENSMUSG000000008236,NA,NA,NA
ENSMUSG000000008266,ENSMUSG000000008266,NA,NA,NA
ENSMUSG000000008278,ENSMUSG000000008278,NA,NA,NA
ENSMUSG000000008387,ENSMUSG000000008387,NA,NA,NA
ENSMUSG000000008615,ENSMUSG000000008615,NA,NA,NA
ENSMUSG000000008692,ENSMUSG000000008692,NA,NA,NA
ENSMUSG000000008761,ENSMUSG000000008761,NA,NA,NA
ENSMUSG000000008812,ENSMUSG000000008812,NA,NA,NA
ENSMUSG000000008847,ENSMUSG000000008847,NA,NA,NA
ENSMUSG00000000889,Dbh,13166,MGI:MGI:94864,Dbh
ENSMUSG000000009017,ENSMUSG000000009017,NA,NA,NA
