sample,diet,condition,diet_condition,multiplicity (tumours => 2mm),weight,liver,spleen,epi_fat,sub_fat,caecum,largest_tumour,cholesterol (mmol/L),triglyceride,ldl,hdl,non_hdl,fbs_gtt
Ath_137,Ath,Normal,Ath_Normal,0,24.7,1.77,0.13,0.25,0.2,0.22,NA,4.29,0.5,na,1.51,2.78,9.7
Ath_138,Ath,Normal,Ath_Normal,0,24.8,2.11,0.07,0.29,0.26,0.59,NA,6.48,0.5,na,1.62,4.85,10.4
Ath_141,Ath,Normal,Ath_Normal,0,23.5,2.45,0.01,0.25,0.24,0.25,NA,5.78,0.5,na,1.49,4.29,8.4
Ath_141T,Ath,Tumour,Ath_Tumour,0,23.5,2.45,0.01,0.25,0.24,0.25,NA,5.78,0.5,na,1.49,4.29,8.4
Ath_153,Ath,Normal,Ath_Normal,1,25.4,1.72,0.1,0.19,0.16,0.31,NA,5.65,0.54,3.92,1.49,4.17,8.4
Ath_153T,Ath,Tumour,Ath_Tumour,1,25.4,1.72,0.1,0.19,0.16,0.31,NA,5.65,0.54,3.92,1.49,4.17,8.4
Ath_154,Ath,Normal,Ath_Normal,0,28.2,2.28,0.25,0.24,0.2,0.3,NA,4.31,0.5,NA,1.7,2.6,9
Ath_154T,Ath,Tumour,Ath_Tumour,0,28.2,2.28,0.25,0.24,0.2,0.3,NA,4.31,0.5,NA,1.7,2.6,9
Ath_155,Ath,Normal,Ath_Normal,1,25,1.8,1.61,0.22,0.19,0.26,5.2,5.56,0.5,NA,2.48,3.08,8.9
Ath_155T,Ath,Tumour,Ath_Tumour,1,25,1.8,1.61,0.22,0.19,0.26,5.2,5.56,0.5,NA,2.48,3.08,8.9
Ath_168,Ath,Normal,Ath_Normal,3,22.9,2.49,0.08,0.1,0.14,0.22,12.8,6.5,0.52,NA,2.6,NA,7.3
Ath_168T,Ath,Tumour,Ath_Tumour,3,22.9,2.49,0.08,0.1,0.14,0.22,12.8,6.5,0.52,NA,2.6,NA,7.3
Ath_170,Ath,Normal,Ath_Normal,0,23.9,1.97,0.18,0.23,0.21,0.29,NA,4.07,0.56,2.81,1,3.06,NA
